date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:42	5649/5649	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:43%20GMT	https://twitter.com/intent/tweet?text=Packages%20-%20Jazz&url=https%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2Fj-1500%2F&via=jazzpk&original_referer=http%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid-services%2Fpackages%2F	C:/Websites/Jazz/twitter.com/intent/tweetd94d.html	(from https://www.jazz.com.pk/postpaid-services/packages/)
10:18:43	1365/1365	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:43%20GMT	https://www.facebook.com/sharer/sharer.php?u=https://www.jazz.com.pk/postpaid/j-1500/	C:/Websites/Jazz/www.facebook.com/sharer/sharer80b3.html	(from https://www.jazz.com.pk/postpaid-services/packages/)
10:18:43	0/0	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:44%20GMT	https://www.linkedin.com/shareArticle?url=https://www.jazz.com.pk/postpaid/j-1500/&title=Packages%20-%20Jazz	C:/Websites/Jazz/www.linkedin.com/shareArticle2665	(from https://www.jazz.com.pk/postpaid-services/packages/)
10:18:44	51553/51553	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:44%20GMT	https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Furl%3Dhttps%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2Fj-1500%2F%26title%3DPackages%2520-%2520Jazz	C:/Websites/Jazz/www.linkedin.com/start/join187f.html	(from https://www.jazz.com.pk/postpaid-services/packages/)
10:18:46	291/291	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:46%20GMT	https://twitter.com/share?url=https://www.jazz.com.pk/postpaid/dcb/&text=Value%20Added%20Services%20-%20Jazz&via=jazzpk	C:/Websites/Jazz/twitter.com/share.1e6a1ec.delayed	(from https://www.jazz.com.pk/postpaid-services/vas/)
10:18:47	98596/98596	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2008%20May%202018%2013:45:18%20GMT	https://www.jazz.com.pk/postpaid-services/vas/feed/	C:/Websites/Jazz/www.jazz.com.pk/postpaid-services/vas/feed/index.html	(from https://www.jazz.com.pk/postpaid-services/vas/)
10:18:47	112825/112825	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:46%20GMT	https://www.jazz.com.pk/postpaid-services/vas/page/2/	C:/Websites/Jazz/www.jazz.com.pk/postpaid-services/vas/page/2/index.html	(from https://www.jazz.com.pk/postpaid-services/vas/)
10:18:47	5662/5662	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:47%20GMT	https://twitter.com/intent/tweet?text=Value%20Added%20Services%20-%20Jazz&url=https%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2Fdcb%2F&via=jazzpk&original_referer=http%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid-services%2Fvas%2F	C:/Websites/Jazz/twitter.com/intent/tweet8698.html	(from https://www.jazz.com.pk/postpaid-services/vas/)
10:18:48	0/0	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:48%20GMT	https://www.linkedin.com/shareArticle?url=https://www.jazz.com.pk/postpaid/dcb/&title=Value%20Added%20Services%20-%20Jazz	C:/Websites/Jazz/www.linkedin.com/shareArticleaa36	(from https://www.jazz.com.pk/postpaid-services/vas/)
10:18:48	51585/51585	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:48%20GMT	https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Furl%3Dhttps%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2Fdcb%2F%26title%3DValue%2520Added%2520Services%2520-%2520Jazz	C:/Websites/Jazz/www.linkedin.com/start/join8ae1.html	(from https://www.jazz.com.pk/postpaid-services/vas/)
